"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6","OBS7"
,0,57.000000,0,0,0,0,0,0,0
,1,65.000000,1,0,0,0,0,0,0
,3,12.000000,1,1,0,0,0,0,0
,8,158.000000,0,0,0,1,0,0,0
,9,29.000000,1,0,0,1,0,0,0
,11,3.000000,1,1,0,1,0,0,0
,12,68.000000,0,0,1,1,0,0,0
,16,1.000000,0,0,0,0,1,0,0
,28,27.000000,0,0,1,1,1,0,0
,32,46.000000,0,0,0,0,0,1,0
,33,88.000000,1,0,0,0,0,1,0
,35,18.000000,1,1,0,0,0,1,0
,40,77.000000,0,0,0,1,0,1,0
,41,95.000000,1,0,0,1,0,1,0
,43,13.000000,1,1,0,1,0,1,0
,44,31.000000,0,0,1,1,0,1,0
,45,13.000000,1,0,1,1,0,1,0
,47,14.000000,1,1,1,1,0,1,0
,48,17.000000,0,0,0,0,1,1,0
,49,24.000000,1,0,0,0,1,1,0
,51,100.000000,1,1,0,0,1,1,0
,56,54.000000,0,0,0,1,1,1,0
,57,101.000000,1,0,0,1,1,1,0
,59,152.000000,1,1,0,1,1,1,0
,60,188.000000,0,0,1,1,1,1,0
,61,192.000000,1,0,1,1,1,1,0
,63,77.000000,1,1,1,1,1,1,0
,64,198.000000,0,0,0,0,0,0,1
,65,187.000000,1,0,0,0,0,0,1
,66,12.000000,0,1,0,0,0,0,1
,67,252.000000,1,1,0,0,0,0,1
,68,1.000000,0,0,1,0,0,0,1
,69,2.000000,1,0,1,0,0,0,1
,70,1.000000,0,1,1,0,0,0,1
,72,508.000000,0,0,0,1,0,0,1
,73,387.000000,1,0,0,1,0,0,1
,74,41.000000,0,1,0,1,0,0,1
,75,719.000000,1,1,0,1,0,0,1
,76,1125.000000,0,0,1,1,0,0,1
,77,985.000000,1,0,1,1,0,0,1
,78,17.000000,0,1,1,1,0,0,1
,79,835.000000,1,1,1,1,0,0,1
,88,1.000000,0,0,0,1,1,0,1
,92,96.000000,0,0,1,1,1,0,1
,93,41.000000,1,0,1,1,1,0,1
,95,4.000000,1,1,1,1,1,0,1
,96,39.000000,0,0,0,0,0,1,1
,97,74.000000,1,0,0,0,0,1,1
,99,279.000000,1,1,0,0,0,1,1
,104,94.000000,0,0,0,1,0,1,1
,105,848.000000,1,0,0,1,0,1,1
,106,4.000000,0,1,0,1,0,1,1
,107,6580.000000,1,1,0,1,0,1,1
,108,463.000000,0,0,1,1,0,1,1
,109,4440.000000,1,0,1,1,0,1,1
,111,19300.000000,1,1,1,1,0,1,1
,112,3.000000,0,0,0,0,1,1,1
,113,8.000000,1,0,0,0,1,1,1
,115,311.000000,1,1,0,0,1,1,1
,120,38.000000,0,0,0,1,1,1,1
,121,1246.000000,1,0,0,1,1,1,1
,122,1.000000,0,1,0,1,1,1,1
,123,26573.000000,1,1,0,1,1,1,1
,124,864.000000,0,0,1,1,1,1,1
,125,21317.000000,1,0,1,1,1,1,1
,126,1.000000,0,1,1,1,1,1,1
,127,2197643.000000,1,1,1,1,1,1,1
