"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6","OBS7"
,0,501.000000,0,0,0,0,0,0,0
,1,188.000000,1,0,0,0,0,0,0
,2,3.000000,0,1,0,0,0,0,0
,3,17.000000,1,1,0,0,0,0,0
,4,3.000000,0,0,1,0,0,0,0
,5,25.000000,1,0,1,0,0,0,0
,6,21.000000,0,1,1,0,0,0,0
,7,198.000000,1,1,1,0,0,0,0
,8,38.000000,0,0,0,1,0,0,0
,9,48.000000,1,0,0,1,0,0,0
,11,2.000000,1,1,0,1,0,0,0
,13,3.000000,1,0,1,1,0,0,0
,14,1.000000,0,1,1,1,0,0,0
,15,9.000000,1,1,1,1,0,0,0
,16,318.000000,0,0,0,0,1,0,0
,17,95.000000,1,0,0,0,1,0,0
,19,5.000000,1,1,0,0,1,0,0
,21,6.000000,1,0,1,0,1,0,0
,22,1.000000,0,1,1,0,1,0,0
,23,51.000000,1,1,1,0,1,0,0
,24,396.000000,0,0,0,1,1,0,0
,25,433.000000,1,0,0,1,1,0,0
,26,1.000000,0,1,0,1,1,0,0
,27,15.000000,1,1,0,1,1,0,0
,28,1.000000,0,0,1,1,1,0,0
,29,10.000000,1,0,1,1,1,0,0
,30,1.000000,0,1,1,1,1,0,0
,31,51.000000,1,1,1,1,1,0,0
,32,368.000000,0,0,0,0,0,1,0
,33,38.000000,1,0,0,0,0,1,0
,34,7.000000,0,1,0,0,0,1,0
,35,13.000000,1,1,0,0,0,1,0
,36,4.000000,0,0,1,0,0,1,0
,37,13.000000,1,0,1,0,0,1,0
,38,58.000000,0,1,1,0,0,1,0
,39,1103.000000,1,1,1,0,0,1,0
,40,7.000000,0,0,0,1,0,1,0
,41,2.000000,1,0,0,1,0,1,0
,43,1.000000,1,1,0,1,0,1,0
,45,1.000000,1,0,1,1,0,1,0
,46,3.000000,0,1,1,1,0,1,0
,47,31.000000,1,1,1,1,0,1,0
,48,107.000000,0,0,0,0,1,1,0
,49,39.000000,1,0,0,0,1,1,0
,50,3.000000,0,1,0,0,1,1,0
,51,11.000000,1,1,0,0,1,1,0
,52,3.000000,0,0,1,0,1,1,0
,53,9.000000,1,0,1,0,1,1,0
,54,27.000000,0,1,1,0,1,1,0
,55,786.000000,1,1,1,0,1,1,0
,56,55.000000,0,0,0,1,1,1,0
,57,79.000000,1,0,0,1,1,1,0
,58,2.000000,0,1,0,1,1,1,0
,59,12.000000,1,1,0,1,1,1,0
,60,3.000000,0,0,1,1,1,1,0
,61,19.000000,1,0,1,1,1,1,0
,62,16.000000,0,1,1,1,1,1,0
,63,284.000000,1,1,1,1,1,1,0
,64,55.000000,0,0,0,0,0,0,1
,65,28.000000,1,0,0,0,0,0,1
,67,5.000000,1,1,0,0,0,0,1
,69,4.000000,1,0,1,0,0,0,1
,71,21.000000,1,1,1,0,0,0,1
,73,1.000000,1,0,0,1,0,0,1
,77,1.000000,1,0,1,1,0,0,1
,80,450.000000,0,0,0,0,1,0,1
,81,94.000000,1,0,0,0,1,0,1
,83,4.000000,1,1,0,0,1,0,1
,85,8.000000,1,0,1,0,1,0,1
,86,3.000000,0,1,1,0,1,0,1
,87,66.000000,1,1,1,0,1,0,1
,88,1716.000000,0,0,0,1,1,0,1
,89,612.000000,1,0,0,1,1,0,1
,90,4.000000,0,1,0,1,1,0,1
,91,19.000000,1,1,0,1,1,0,1
,92,2.000000,0,0,1,1,1,0,1
,93,22.000000,1,0,1,1,1,0,1
,94,3.000000,0,1,1,1,1,0,1
,95,54.000000,1,1,1,1,1,0,1
,96,106.000000,0,0,0,0,0,1,1
,97,20.000000,1,0,0,0,0,1,1
,98,7.000000,0,1,0,0,0,1,1
,99,10.000000,1,1,0,0,0,1,1
,100,6.000000,0,0,1,0,0,1,1
,101,8.000000,1,0,1,0,0,1,1
,102,62.000000,0,1,1,0,0,1,1
,103,981.000000,1,1,1,0,0,1,1
,105,3.000000,1,0,0,1,0,1,1
,107,1.000000,1,1,0,1,0,1,1
,111,8.000000,1,1,1,1,0,1,1
,112,1675.000000,0,0,0,0,1,1,1
,113,537.000000,1,0,0,0,1,1,1
,114,438.000000,0,1,0,0,1,1,1
,115,505.000000,1,1,0,0,1,1,1
,116,348.000000,0,0,1,0,1,1,1
,117,352.000000,1,0,1,0,1,1,1
,118,2586.000000,0,1,1,0,1,1,1
,119,64501.000000,1,1,1,0,1,1,1
,120,9986.000000,0,0,0,1,1,1,1
,121,5402.000000,1,0,0,1,1,1,1
,122,2578.000000,0,1,0,1,1,1,1
,123,4359.000000,1,1,0,1,1,1,1
,124,1973.000000,0,0,1,1,1,1,1
,125,3290.000000,1,0,1,1,1,1,1
,126,15050.000000,0,1,1,1,1,1,1
,127,2163749.000000,1,1,1,1,1,1,1
