"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6","OBS7"
,0,556.000000,0,0,0,0,0,0,0
,1,163.000000,1,0,0,0,0,0,0
,2,6.000000,0,1,0,0,0,0,0
,3,3.000000,1,1,0,0,0,0,0
,4,2.000000,0,0,1,0,0,0,0
,5,81.000000,1,0,1,0,0,0,0
,6,6.000000,0,1,1,0,0,0,0
,7,123.000000,1,1,1,0,0,0,0
,8,125.000000,0,0,0,1,0,0,0
,9,83.000000,1,0,0,1,0,0,0
,11,2.000000,1,1,0,1,0,0,0
,13,5.000000,1,0,1,1,0,0,0
,15,3.000000,1,1,1,1,0,0,0
,16,150.000000,0,0,0,0,1,0,0
,17,59.000000,1,0,0,0,1,0,0
,19,3.000000,1,1,0,0,1,0,0
,21,24.000000,1,0,1,0,1,0,0
,23,24.000000,1,1,1,0,1,0,0
,24,163.000000,0,0,0,1,1,0,0
,25,165.000000,1,0,0,1,1,0,0
,28,1.000000,0,0,1,1,1,0,0
,29,15.000000,1,0,1,1,1,0,0
,31,17.000000,1,1,1,1,1,0,0
,32,272.000000,0,0,0,0,0,1,0
,33,42.000000,1,0,0,0,0,1,0
,34,27.000000,0,1,0,0,0,1,0
,35,11.000000,1,1,0,0,0,1,0
,37,25.000000,1,0,1,0,0,1,0
,38,23.000000,0,1,1,0,0,1,0
,39,902.000000,1,1,1,0,0,1,0
,40,5.000000,0,0,0,1,0,1,0
,41,7.000000,1,0,0,1,0,1,0
,43,1.000000,1,1,0,1,0,1,0
,45,1.000000,1,0,1,1,0,1,0
,46,3.000000,0,1,1,1,0,1,0
,47,36.000000,1,1,1,1,0,1,0
,48,44.000000,0,0,0,0,1,1,0
,49,24.000000,1,0,0,0,1,1,0
,50,11.000000,0,1,0,0,1,1,0
,51,4.000000,1,1,0,0,1,1,0
,52,1.000000,0,0,1,0,1,1,0
,53,12.000000,1,0,1,0,1,1,0
,54,11.000000,0,1,1,0,1,1,0
,55,528.000000,1,1,1,0,1,1,0
,56,11.000000,0,0,0,1,1,1,0
,57,11.000000,1,0,0,1,1,1,0
,59,3.000000,1,1,0,1,1,1,0
,61,12.000000,1,0,1,1,1,1,0
,62,4.000000,0,1,1,1,1,1,0
,63,72.000000,1,1,1,1,1,1,0
,64,44.000000,0,0,0,0,0,0,1
,65,24.000000,1,0,0,0,0,0,1
,66,1.000000,0,1,0,0,0,0,1
,67,2.000000,1,1,0,0,0,0,1
,69,5.000000,1,0,1,0,0,0,1
,71,18.000000,1,1,1,0,0,0,1
,72,11.000000,0,0,0,1,0,0,1
,73,12.000000,1,0,0,1,0,0,1
,77,1.000000,1,0,1,1,0,0,1
,80,837.000000,0,0,0,0,1,0,1
,81,175.000000,1,0,0,0,1,0,1
,82,2.000000,0,1,0,0,1,0,1
,83,12.000000,1,1,0,0,1,0,1
,84,4.000000,0,0,1,0,1,0,1
,85,40.000000,1,0,1,0,1,0,1
,87,75.000000,1,1,1,0,1,0,1
,88,3126.000000,0,0,0,1,1,0,1
,89,1160.000000,1,0,0,1,1,0,1
,90,19.000000,0,1,0,1,1,0,1
,91,39.000000,1,1,0,1,1,0,1
,92,8.000000,0,0,1,1,1,0,1
,93,118.000000,1,0,1,1,1,0,1
,94,6.000000,0,1,1,1,1,0,1
,95,108.000000,1,1,1,1,1,0,1
,96,35.000000,0,0,0,0,0,1,1
,97,15.000000,1,0,0,0,0,1,1
,98,10.000000,0,1,0,0,0,1,1
,99,6.000000,1,1,0,0,0,1,1
,100,1.000000,0,0,1,0,0,1,1
,101,13.000000,1,0,1,0,0,1,1
,102,13.000000,0,1,1,0,0,1,1
,103,454.000000,1,1,1,0,0,1,1
,105,2.000000,1,0,0,1,0,1,1
,107,1.000000,1,1,0,1,0,1,1
,109,3.000000,1,0,1,1,0,1,1
,111,8.000000,1,1,1,1,0,1,1
,112,1139.000000,0,0,0,0,1,1,1
,113,439.000000,1,0,0,0,1,1,1
,114,680.000000,0,1,0,0,1,1,1
,115,528.000000,1,1,0,0,1,1,1
,116,85.000000,0,0,1,0,1,1,1
,117,338.000000,1,0,1,0,1,1,1
,118,1113.000000,0,1,1,0,1,1,1
,119,35768.000000,1,1,1,0,1,1,1
,120,8726.000000,0,0,0,1,1,1,1
,121,6019.000000,1,0,0,1,1,1,1
,122,5250.000000,0,1,0,1,1,1,1
,123,8109.000000,1,1,0,1,1,1,1
,124,869.000000,0,0,1,1,1,1,1
,125,3900.000000,1,0,1,1,1,1,1
,126,9273.000000,0,1,1,1,1,1,1
,127,2194732.000000,1,1,1,1,1,1,1
