"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6","OBS7"
,0,48.000000,0,0,0,0,0,0,0
,1,34.000000,1,0,0,0,0,0,0
,2,2.000000,0,1,0,0,0,0,0
,4,127.000000,0,0,1,0,0,0,0
,5,39.000000,1,0,1,0,0,0,0
,6,60.000000,0,1,1,0,0,0,0
,14,6.000000,0,1,1,1,0,0,0
,15,1.000000,1,1,1,1,0,0,0
,16,31.000000,0,0,0,0,1,0,0
,17,41.000000,1,0,0,0,1,0,0
,20,468.000000,0,0,1,0,1,0,0
,21,397.000000,1,0,1,0,1,0,0
,22,189.000000,0,1,1,0,1,0,0
,23,103.000000,1,1,1,0,1,0,0
,25,6.000000,1,0,0,1,1,0,0
,28,129.000000,0,0,1,1,1,0,0
,29,1404.000000,1,0,1,1,1,0,0
,30,654.000000,0,1,1,1,1,0,0
,31,1495.000000,1,1,1,1,1,0,0
,32,119.000000,0,0,0,0,0,1,0
,33,25.000000,1,0,0,0,0,1,0
,34,4.000000,0,1,0,0,0,1,0
,36,153.000000,0,0,1,0,0,1,0
,37,40.000000,1,0,1,0,0,1,0
,38,120.000000,0,1,1,0,0,1,0
,39,4.000000,1,1,1,0,0,1,0
,46,6.000000,0,1,1,1,0,1,0
,48,7.000000,0,0,0,0,1,1,0
,49,16.000000,1,0,0,0,1,1,0
,50,1.000000,0,1,0,0,1,1,0
,52,315.000000,0,0,1,0,1,1,0
,53,804.000000,1,0,1,0,1,1,0
,54,680.000000,0,1,1,0,1,1,0
,55,1197.000000,1,1,1,0,1,1,0
,57,2.000000,1,0,0,1,1,1,0
,60,42.000000,0,0,1,1,1,1,0
,61,3344.000000,1,0,1,1,1,1,0
,62,1569.000000,0,1,1,1,1,1,0
,63,50192.000000,1,1,1,1,1,1,0
,66,1.000000,0,1,0,0,0,0,1
,68,1.000000,0,0,1,0,0,0,1
,69,1.000000,1,0,1,0,0,0,1
,81,1.000000,1,0,0,0,1,0,1
,85,10.000000,1,0,1,0,1,0,1
,93,6.000000,1,0,1,1,1,0,1
,96,21.000000,0,0,0,0,0,1,1
,97,19.000000,1,0,0,0,0,1,1
,98,8.000000,0,1,0,0,0,1,1
,99,3.000000,1,1,0,0,0,1,1
,100,131.000000,0,0,1,0,0,1,1
,101,96.000000,1,0,1,0,0,1,1
,102,359.000000,0,1,1,0,0,1,1
,103,62.000000,1,1,1,0,0,1,1
,110,8.000000,0,1,1,1,0,1,1
,112,4.000000,0,0,0,0,1,1,1
,113,32.000000,1,0,0,0,1,1,1
,115,1.000000,1,1,0,0,1,1,1
,116,332.000000,0,0,1,0,1,1,1
,117,3247.000000,1,0,1,0,1,1,1
,118,2479.000000,0,1,1,0,1,1,1
,119,13690.000000,1,1,1,0,1,1,1
,121,7.000000,1,0,0,1,1,1,1
,124,16.000000,0,0,1,1,1,1,1
,125,5681.000000,1,0,1,1,1,1,1
,126,2201.000000,0,1,1,1,1,1,1
,127,2194967.000000,1,1,1,1,1,1,1
