"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6","OBS7"
,0,375.000000,0,0,0,0,0,0,0
,1,122.000000,1,0,0,0,0,0,0
,2,23.000000,0,1,0,0,0,0,0
,3,108.000000,1,1,0,0,0,0,0
,4,1.000000,0,0,1,0,0,0,0
,6,1.000000,0,1,1,0,0,0,0
,7,7.000000,1,1,1,0,0,0,0
,8,13.000000,0,0,0,1,0,0,0
,9,13.000000,1,0,0,1,0,0,0
,11,5.000000,1,1,0,1,0,0,0
,16,141.000000,0,0,0,0,1,0,0
,17,15.000000,1,0,0,0,1,0,0
,18,2.000000,0,1,0,0,1,0,0
,19,19.000000,1,1,0,0,1,0,0
,20,4.000000,0,0,1,0,1,0,0
,25,1.000000,1,0,0,1,1,0,0
,27,1.000000,1,1,0,1,1,0,0
,32,119.000000,0,0,0,0,0,1,0
,33,5.000000,1,0,0,0,0,1,0
,34,47.000000,0,1,0,0,0,1,0
,35,117.000000,1,1,0,0,0,1,0
,36,16.000000,0,0,1,0,0,1,0
,38,46.000000,0,1,1,0,0,1,0
,39,300.000000,1,1,1,0,0,1,0
,43,1.000000,1,1,0,1,0,1,0
,47,3.000000,1,1,1,1,0,1,0
,48,45.000000,0,0,0,0,1,1,0
,49,1.000000,1,0,0,0,1,1,0
,50,19.000000,0,1,0,0,1,1,0
,51,48.000000,1,1,0,0,1,1,0
,52,37.000000,0,0,1,0,1,1,0
,54,146.000000,0,1,1,0,1,1,0
,55,730.000000,1,1,1,0,1,1,0
,59,2.000000,1,1,0,1,1,1,0
,64,287.000000,0,0,0,0,0,0,1
,65,86.000000,1,0,0,0,0,0,1
,66,7.000000,0,1,0,0,0,0,1
,67,102.000000,1,1,0,0,0,0,1
,71,3.000000,1,1,1,0,0,0,1
,72,318.000000,0,0,0,1,0,0,1
,73,331.000000,1,0,0,1,0,0,1
,74,11.000000,0,1,0,1,0,0,1
,75,191.000000,1,1,0,1,0,0,1
,76,1.000000,0,0,1,1,0,0,1
,79,2.000000,1,1,1,1,0,0,1
,80,857.000000,0,0,0,0,1,0,1
,81,140.000000,1,0,0,0,1,0,1
,82,27.000000,0,1,0,0,1,0,1
,83,286.000000,1,1,0,0,1,0,1
,84,12.000000,0,0,1,0,1,0,1
,85,3.000000,1,0,1,0,1,0,1
,86,4.000000,0,1,1,0,1,0,1
,87,32.000000,1,1,1,0,1,0,1
,88,4536.000000,0,0,0,1,1,0,1
,89,1923.000000,1,0,0,1,1,0,1
,90,129.000000,0,1,0,1,1,0,1
,91,1634.000000,1,1,0,1,1,0,1
,92,150.000000,0,0,1,1,1,0,1
,93,38.000000,1,0,1,1,1,0,1
,94,69.000000,0,1,1,1,1,0,1
,95,196.000000,1,1,1,1,1,0,1
,96,10.000000,0,0,0,0,0,1,1
,97,7.000000,1,0,0,0,0,1,1
,98,7.000000,0,1,0,0,0,1,1
,99,141.000000,1,1,0,0,0,1,1
,100,6.000000,0,0,1,0,0,1,1
,101,1.000000,1,0,1,0,0,1,1
,102,19.000000,0,1,1,0,0,1,1
,103,199.000000,1,1,1,0,0,1,1
,104,2.000000,0,0,0,1,0,1,1
,105,1.000000,1,0,0,1,0,1,1
,106,5.000000,0,1,0,1,0,1,1
,107,73.000000,1,1,0,1,0,1,1
,108,3.000000,0,0,1,1,0,1,1
,110,2.000000,0,1,1,1,0,1,1
,111,48.000000,1,1,1,1,0,1,1
,112,253.000000,0,0,0,0,1,1,1
,113,95.000000,1,0,0,0,1,1,1
,114,150.000000,0,1,0,0,1,1,1
,115,908.000000,1,1,0,0,1,1,1
,116,388.000000,0,0,1,0,1,1,1
,117,63.000000,1,0,1,0,1,1,1
,118,1594.000000,0,1,1,0,1,1,1
,119,16793.000000,1,1,1,0,1,1,1
,120,3026.000000,0,0,0,1,1,1,1
,121,2327.000000,1,0,0,1,1,1,1
,122,1589.000000,0,1,0,1,1,1,1
,123,14161.000000,1,1,0,1,1,1,1
,124,4977.000000,0,0,1,1,1,1,1
,125,2711.000000,1,0,1,1,1,1,1
,126,21994.000000,0,1,1,1,1,1,1
,127,2201797.000000,1,1,1,1,1,1,1
