"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6","OBS7"
,0,165.000000,0,0,0,0,0,0,0
,1,8.000000,1,0,0,0,0,0,0
,2,361.000000,0,1,0,0,0,0,0
,3,426.000000,1,1,0,0,0,0,0
,4,35.000000,0,0,1,0,0,0,0
,6,40.000000,0,1,1,0,0,0,0
,7,24.000000,1,1,1,0,0,0,0
,8,3.000000,0,0,0,1,0,0,0
,9,1.000000,1,0,0,1,0,0,0
,10,4.000000,0,1,0,1,0,0,0
,11,48.000000,1,1,0,1,0,0,0
,14,1.000000,0,1,1,1,0,0,0
,15,5.000000,1,1,1,1,0,0,0
,16,193.000000,0,0,0,0,1,0,0
,17,3.000000,1,0,0,0,1,0,0
,18,133.000000,0,1,0,0,1,0,0
,19,189.000000,1,1,0,0,1,0,0
,20,123.000000,0,0,1,0,1,0,0
,22,153.000000,0,1,1,0,1,0,0
,23,104.000000,1,1,1,0,1,0,0
,24,6.000000,0,0,0,1,1,0,0
,26,6.000000,0,1,0,1,1,0,0
,27,46.000000,1,1,0,1,1,0,0
,28,3.000000,0,0,1,1,1,0,0
,30,15.000000,0,1,1,1,1,0,0
,31,34.000000,1,1,1,1,1,0,0
,32,30.000000,0,0,0,0,0,1,0
,34,325.000000,0,1,0,0,0,1,0
,35,1053.000000,1,1,0,0,0,1,0
,36,48.000000,0,0,1,0,0,1,0
,38,491.000000,0,1,1,0,0,1,0
,39,1181.000000,1,1,1,0,0,1,0
,43,32.000000,1,1,0,1,0,1,0
,46,1.000000,0,1,1,1,0,1,0
,47,17.000000,1,1,1,1,0,1,0
,48,39.000000,0,0,0,0,1,1,0
,50,107.000000,0,1,0,0,1,1,0
,51,520.000000,1,1,0,0,1,1,0
,52,179.000000,0,0,1,0,1,1,0
,54,4886.000000,0,1,1,0,1,1,0
,55,15826.000000,1,1,1,0,1,1,0
,58,4.000000,0,1,0,1,1,1,0
,59,53.000000,1,1,0,1,1,1,0
,60,25.000000,0,0,1,1,1,1,0
,61,1.000000,1,0,1,1,1,1,0
,62,1858.000000,0,1,1,1,1,1,0
,63,10491.000000,1,1,1,1,1,1,0
,64,3.000000,0,0,0,0,0,0,1
,66,8.000000,0,1,0,0,0,0,1
,67,86.000000,1,1,0,0,0,0,1
,71,6.000000,1,1,1,0,0,0,1
,72,8.000000,0,0,0,1,0,0,1
,73,6.000000,1,0,0,1,0,0,1
,74,15.000000,0,1,0,1,0,0,1
,75,169.000000,1,1,0,1,0,0,1
,79,22.000000,1,1,1,1,0,0,1
,80,2.000000,0,0,0,0,1,0,1
,82,12.000000,0,1,0,0,1,0,1
,83,75.000000,1,1,0,0,1,0,1
,84,3.000000,0,0,1,0,1,0,1
,86,24.000000,0,1,1,0,1,0,1
,87,37.000000,1,1,1,0,1,0,1
,88,181.000000,0,0,0,1,1,0,1
,89,46.000000,1,0,0,1,1,0,1
,90,275.000000,0,1,0,1,1,0,1
,91,1452.000000,1,1,0,1,1,0,1
,92,317.000000,0,0,1,1,1,0,1
,93,9.000000,1,0,1,1,1,0,1
,94,856.000000,0,1,1,1,1,0,1
,95,1050.000000,1,1,1,1,1,0,1
,98,3.000000,0,1,0,0,0,1,1
,99,53.000000,1,1,0,0,0,1,1
,102,1.000000,0,1,1,0,0,1,1
,103,28.000000,1,1,1,0,0,1,1
,106,5.000000,0,1,0,1,0,1,1
,107,101.000000,1,1,0,1,0,1,1
,110,1.000000,0,1,1,1,0,1,1
,111,29.000000,1,1,1,1,0,1,1
,114,4.000000,0,1,0,0,1,1,1
,115,91.000000,1,1,0,0,1,1,1
,116,13.000000,0,0,1,0,1,1,1
,118,1561.000000,0,1,1,0,1,1,1
,119,10533.000000,1,1,1,0,1,1,1
,120,1.000000,0,0,0,1,1,1,1
,121,1.000000,1,0,0,1,1,1,1
,122,60.000000,0,1,0,1,1,1,1
,123,1208.000000,1,1,0,1,1,1,1
,124,387.000000,0,0,1,1,1,1,1
,125,11.000000,1,0,1,1,1,1,1
,126,22849.000000,0,1,1,1,1,1,1
,127,2206360.000000,1,1,1,1,1,1,1
