"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6","OBS7"
,0,32.000000,0,0,0,0,0,0,0
,2,3.000000,0,1,0,0,0,0,0
,4,474.000000,0,0,1,0,0,0,0
,6,15.000000,0,1,1,0,0,0,0
,12,38.000000,0,0,1,1,0,0,0
,16,10.000000,0,0,0,0,1,0,0
,17,1.000000,1,0,0,0,1,0,0
,20,698.000000,0,0,1,0,1,0,0
,22,144.000000,0,1,1,0,1,0,0
,23,3.000000,1,1,1,0,1,0,0
,28,51.000000,0,0,1,1,1,0,0
,30,1.000000,0,1,1,1,1,0,0
,34,1.000000,0,1,0,0,0,1,0
,36,4.000000,0,0,1,0,0,1,0
,37,5.000000,1,0,1,0,0,1,0
,38,4.000000,0,1,1,0,0,1,0
,39,10.000000,1,1,1,0,0,1,0
,51,1.000000,1,1,0,0,1,1,0
,52,23.000000,0,0,1,0,1,1,0
,53,16.000000,1,0,1,0,1,1,0
,54,80.000000,0,1,1,0,1,1,0
,55,69.000000,1,1,1,0,1,1,0
,61,1.000000,1,0,1,1,1,1,0
,64,59.000000,0,0,0,0,0,0,1
,66,1.000000,0,1,0,0,0,0,1
,68,812.000000,0,0,1,0,0,0,1
,69,3.000000,1,0,1,0,0,0,1
,70,32.000000,0,1,1,0,0,0,1
,71,1.000000,1,1,1,0,0,0,1
,72,6.000000,0,0,0,1,0,0,1
,76,2383.000000,0,0,1,1,0,0,1
,77,205.000000,1,0,1,1,0,0,1
,78,30.000000,0,1,1,1,0,0,1
,79,8.000000,1,1,1,1,0,0,1
,84,2510.000000,0,0,1,0,1,0,1
,85,18.000000,1,0,1,0,1,0,1
,86,672.000000,0,1,1,0,1,0,1
,87,16.000000,1,1,1,0,1,0,1
,92,7844.000000,0,0,1,1,1,0,1
,93,512.000000,1,0,1,1,1,0,1
,94,1234.000000,0,1,1,1,1,0,1
,95,315.000000,1,1,1,1,1,0,1
,96,9.000000,0,0,0,0,0,1,1
,98,1.000000,0,1,0,0,0,1,1
,100,102.000000,0,0,1,0,0,1,1
,101,30.000000,1,0,1,0,0,1,1
,102,48.000000,0,1,1,0,0,1,1
,103,389.000000,1,1,1,0,0,1,1
,104,1.000000,0,0,0,1,0,1,1
,107,2.000000,1,1,0,1,0,1,1
,108,567.000000,0,0,1,1,0,1,1
,109,2194.000000,1,0,1,1,0,1,1
,110,218.000000,0,1,1,1,0,1,1
,111,9355.000000,1,1,1,1,0,1,1
,115,2.000000,1,1,0,0,1,1,1
,116,484.000000,0,0,1,0,1,1,1
,117,286.000000,1,0,1,0,1,1,1
,118,1469.000000,0,1,1,0,1,1,1
,119,4290.000000,1,1,1,0,1,1,1
,124,9142.000000,0,0,1,1,1,1,1
,125,15707.000000,1,0,1,1,1,1,1
,126,17750.000000,0,1,1,1,1,1,1
,127,2206867.000000,1,1,1,1,1,1,1
