"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6","OBS7"
,0,99.000000,0,0,0,0,0,0,0
,1,47.000000,1,0,0,0,0,0,0
,2,33.000000,0,1,0,0,0,0,0
,3,141.000000,1,1,0,0,0,0,0
,4,1.000000,0,0,1,0,0,0,0
,5,1.000000,1,0,1,0,0,0,0
,7,1.000000,1,1,1,0,0,0,0
,12,1.000000,0,0,1,1,0,0,0
,16,78.000000,0,0,0,0,1,0,0
,17,14.000000,1,0,0,0,1,0,0
,19,4.000000,1,1,0,0,1,0,0
,20,21.000000,0,0,1,0,1,0,0
,21,3.000000,1,0,1,0,1,0,0
,23,3.000000,1,1,1,0,1,0,0
,27,3.000000,1,1,0,1,1,0,0
,28,20.000000,0,0,1,1,1,0,0
,29,14.000000,1,0,1,1,1,0,0
,30,1.000000,0,1,1,1,1,0,0
,31,10.000000,1,1,1,1,1,0,0
,32,343.000000,0,0,0,0,0,1,0
,33,47.000000,1,0,0,0,0,1,0
,34,299.000000,0,1,0,0,0,1,0
,35,929.000000,1,1,0,0,0,1,0
,36,2.000000,0,0,1,0,0,1,0
,38,1.000000,0,1,1,0,0,1,0
,39,9.000000,1,1,1,0,0,1,0
,40,8.000000,0,0,0,1,0,1,0
,42,6.000000,0,1,0,1,0,1,0
,43,18.000000,1,1,0,1,0,1,0
,46,1.000000,0,1,1,1,0,1,0
,47,8.000000,1,1,1,1,0,1,0
,48,254.000000,0,0,0,0,1,1,0
,49,37.000000,1,0,0,0,1,1,0
,50,188.000000,0,1,0,0,1,1,0
,51,1425.000000,1,1,0,0,1,1,0
,52,41.000000,0,0,1,0,1,1,0
,53,11.000000,1,0,1,0,1,1,0
,54,17.000000,0,1,1,0,1,1,0
,55,428.000000,1,1,1,0,1,1,0
,56,53.000000,0,0,0,1,1,1,0
,57,9.000000,1,0,0,1,1,1,0
,58,91.000000,0,1,0,1,1,1,0
,59,766.000000,1,1,0,1,1,1,0
,60,1026.000000,0,0,1,1,1,1,0
,61,428.000000,1,0,1,1,1,1,0
,62,1205.000000,0,1,1,1,1,1,0
,63,16875.000000,1,1,1,1,1,1,0
,64,11.000000,0,0,0,0,0,0,1
,65,30.000000,1,0,0,0,0,0,1
,67,302.000000,1,1,0,0,0,0,1
,68,1.000000,0,0,1,0,0,0,1
,69,1.000000,1,0,1,0,0,0,1
,71,16.000000,1,1,1,0,0,0,1
,75,1.000000,1,1,0,1,0,0,1
,79,1.000000,1,1,1,1,0,0,1
,80,4.000000,0,0,0,0,1,0,1
,81,8.000000,1,0,0,0,1,0,1
,83,10.000000,1,1,0,0,1,0,1
,85,3.000000,1,0,1,0,1,0,1
,87,24.000000,1,1,1,0,1,0,1
,91,2.000000,1,1,0,1,1,0,1
,92,22.000000,0,0,1,1,1,0,1
,93,28.000000,1,0,1,1,1,0,1
,95,69.000000,1,1,1,1,1,0,1
,96,7.000000,0,0,0,0,0,1,1
,97,38.000000,1,0,0,0,0,1,1
,98,2.000000,0,1,0,0,0,1,1
,99,4120.000000,1,1,0,0,0,1,1
,101,4.000000,1,0,1,0,0,1,1
,103,134.000000,1,1,1,0,0,1,1
,105,1.000000,1,0,0,1,0,1,1
,107,42.000000,1,1,0,1,0,1,1
,111,29.000000,1,1,1,1,0,1,1
,112,9.000000,0,0,0,0,1,1,1
,113,30.000000,1,0,0,0,1,1,1
,114,4.000000,0,1,0,0,1,1,1
,115,9342.000000,1,1,0,0,1,1,1
,116,5.000000,0,0,1,0,1,1,1
,117,26.000000,1,0,1,0,1,1,1
,118,1.000000,0,1,1,0,1,1,1
,119,8631.000000,1,1,1,0,1,1,1
,120,1.000000,0,0,0,1,1,1,1
,121,1.000000,1,0,0,1,1,1,1
,123,4408.000000,1,1,0,1,1,1,1
,124,97.000000,0,0,1,1,1,1,1
,125,484.000000,1,0,1,1,1,1,1
,126,39.000000,0,1,1,1,1,1,1
,127,2234250.000000,1,1,1,1,1,1,1
