"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6","OBS7"
,0,251.000000,0,0,0,0,0,0,0
,1,20.000000,1,0,0,0,0,0,0
,2,19.000000,0,1,0,0,0,0,0
,3,14.000000,1,1,0,0,0,0,0
,4,3.000000,0,0,1,0,0,0,0
,8,575.000000,0,0,0,1,0,0,0
,9,36.000000,1,0,0,1,0,0,0
,10,19.000000,0,1,0,1,0,0,0
,11,38.000000,1,1,0,1,0,0,0
,12,567.000000,0,0,1,1,0,0,0
,13,35.000000,1,0,1,1,0,0,0
,14,2.000000,0,1,1,1,0,0,0
,15,10.000000,1,1,1,1,0,0,0
,16,4.000000,0,0,0,0,1,0,0
,24,4.000000,0,0,0,1,1,0,0
,27,1.000000,1,1,0,1,1,0,0
,28,95.000000,0,0,1,1,1,0,0
,29,2.000000,1,0,1,1,1,0,0
,33,10.000000,1,0,0,0,0,1,0
,35,46.000000,1,1,0,0,0,1,0
,40,29.000000,0,0,0,1,0,1,0
,41,31.000000,1,0,0,1,0,1,0
,42,3.000000,0,1,0,1,0,1,0
,43,904.000000,1,1,0,1,0,1,0
,44,204.000000,0,0,1,1,0,1,0
,45,275.000000,1,0,1,1,0,1,0
,46,2.000000,0,1,1,1,0,1,0
,47,1857.000000,1,1,1,1,0,1,0
,51,1.000000,1,1,0,0,1,1,0
,56,2.000000,0,0,0,1,1,1,0
,57,2.000000,1,0,0,1,1,1,0
,60,15.000000,0,0,1,1,1,1,0
,61,18.000000,1,0,1,1,1,1,0
,63,27.000000,1,1,1,1,1,1,0
,64,308.000000,0,0,0,0,0,0,1
,65,13.000000,1,0,0,0,0,0,1
,66,22.000000,0,1,0,0,0,0,1
,67,41.000000,1,1,0,0,0,0,1
,72,644.000000,0,0,0,1,0,0,1
,73,51.000000,1,0,0,1,0,0,1
,74,123.000000,0,1,0,1,0,0,1
,75,294.000000,1,1,0,1,0,0,1
,76,993.000000,0,0,1,1,0,0,1
,77,327.000000,1,0,1,1,0,0,1
,78,104.000000,0,1,1,1,0,0,1
,79,538.000000,1,1,1,1,0,0,1
,80,294.000000,0,0,0,0,1,0,1
,81,3.000000,1,0,0,0,1,0,1
,82,79.000000,0,1,0,0,1,0,1
,83,57.000000,1,1,0,0,1,0,1
,84,29.000000,0,0,1,0,1,0,1
,87,2.000000,1,1,1,0,1,0,1
,88,1311.000000,0,0,0,1,1,0,1
,89,151.000000,1,0,0,1,1,0,1
,90,669.000000,0,1,0,1,1,0,1
,91,1119.000000,1,1,0,1,1,0,1
,92,9509.000000,0,0,1,1,1,0,1
,93,3349.000000,1,0,1,1,1,0,1
,94,2158.000000,0,1,1,1,1,0,1
,95,11261.000000,1,1,1,1,1,0,1
,96,1.000000,0,0,0,0,0,1,1
,99,86.000000,1,1,0,0,0,1,1
,100,1.000000,0,0,1,0,0,1,1
,104,26.000000,0,0,0,1,0,1,1
,105,66.000000,1,0,0,1,0,1,1
,106,13.000000,0,1,0,1,0,1,1
,107,4693.000000,1,1,0,1,0,1,1
,108,340.000000,0,0,1,1,0,1,1
,109,1316.000000,1,0,1,1,0,1,1
,110,135.000000,0,1,1,1,0,1,1
,111,33391.000000,1,1,1,1,0,1,1
,113,1.000000,1,0,0,0,1,1,1
,115,96.000000,1,1,0,0,1,1,1
,120,33.000000,0,0,0,1,1,1,1
,121,113.000000,1,0,0,1,1,1,1
,122,52.000000,0,1,0,1,1,1,1
,123,5939.000000,1,1,0,1,1,1,1
,124,1362.000000,0,0,1,1,1,1,1
,125,7328.000000,1,0,1,1,1,1,1
,126,1295.000000,0,1,1,1,1,1,1
,127,2192401.000000,1,1,1,1,1,1,1
