"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6","OBS7"
,0,81.000000,0,0,0,0,0,0,0
,1,52.000000,1,0,0,0,0,0,0
,2,17.000000,0,1,0,0,0,0,0
,3,185.000000,1,1,0,0,0,0,0
,4,1.000000,0,0,1,0,0,0,0
,8,1.000000,0,0,0,1,0,0,0
,16,129.000000,0,0,0,0,1,0,0
,17,55.000000,1,0,0,0,1,0,0
,18,2.000000,0,1,0,0,1,0,0
,19,24.000000,1,1,0,0,1,0,0
,20,37.000000,0,0,1,0,1,0,0
,21,7.000000,1,0,1,0,1,0,0
,22,4.000000,0,1,1,0,1,0,0
,23,4.000000,1,1,1,0,1,0,0
,24,1.000000,0,0,0,1,1,0,0
,28,96.000000,0,0,1,1,1,0,0
,29,42.000000,1,0,1,1,1,0,0
,30,2.000000,0,1,1,1,1,0,0
,31,19.000000,1,1,1,1,1,0,0
,32,186.000000,0,0,0,0,0,1,0
,33,21.000000,1,0,0,0,0,1,0
,34,175.000000,0,1,0,0,0,1,0
,35,871.000000,1,1,0,0,0,1,0
,37,1.000000,1,0,1,0,0,1,0
,38,1.000000,0,1,1,0,0,1,0
,39,6.000000,1,1,1,0,0,1,0
,40,4.000000,0,0,0,1,0,1,0
,42,8.000000,0,1,0,1,0,1,0
,43,10.000000,1,1,0,1,0,1,0
,46,1.000000,0,1,1,1,0,1,0
,47,1.000000,1,1,1,1,0,1,0
,48,136.000000,0,0,0,0,1,1,0
,49,45.000000,1,0,0,0,1,1,0
,50,102.000000,0,1,0,0,1,1,0
,51,1385.000000,1,1,0,0,1,1,0
,52,37.000000,0,0,1,0,1,1,0
,53,6.000000,1,0,1,0,1,1,0
,54,25.000000,0,1,1,0,1,1,0
,55,485.000000,1,1,1,0,1,1,0
,56,10.000000,0,0,0,1,1,1,0
,57,4.000000,1,0,0,1,1,1,0
,58,26.000000,0,1,0,1,1,1,0
,59,276.000000,1,1,0,1,1,1,0
,60,542.000000,0,0,1,1,1,1,0
,61,445.000000,1,0,1,1,1,1,0
,62,528.000000,0,1,1,1,1,1,0
,63,10692.000000,1,1,1,1,1,1,0
,64,22.000000,0,0,0,0,0,0,1
,65,82.000000,1,0,0,0,0,0,1
,67,419.000000,1,1,0,0,0,0,1
,71,1.000000,1,1,1,0,0,0,1
,75,1.000000,1,1,0,1,0,0,1
,80,11.000000,0,0,0,0,1,0,1
,81,27.000000,1,0,0,0,1,0,1
,83,133.000000,1,1,0,0,1,0,1
,84,4.000000,0,0,1,0,1,0,1
,85,8.000000,1,0,1,0,1,0,1
,87,43.000000,1,1,1,0,1,0,1
,91,1.000000,1,1,0,1,1,0,1
,92,43.000000,0,0,1,1,1,0,1
,93,138.000000,1,0,1,1,1,0,1
,94,2.000000,0,1,1,1,1,0,1
,95,279.000000,1,1,1,1,1,0,1
,96,4.000000,0,0,0,0,0,1,1
,97,24.000000,1,0,0,0,0,1,1
,98,1.000000,0,1,0,0,0,1,1
,99,2846.000000,1,1,0,0,0,1,1
,101,1.000000,1,0,1,0,0,1,1
,103,33.000000,1,1,1,0,0,1,1
,107,13.000000,1,1,0,1,0,1,1
,111,3.000000,1,1,1,1,0,1,1
,112,7.000000,0,0,0,0,1,1,1
,113,41.000000,1,0,0,0,1,1,1
,114,1.000000,0,1,0,0,1,1,1
,115,9670.000000,1,1,0,0,1,1,1
,116,1.000000,0,0,1,0,1,1,1
,117,15.000000,1,0,1,0,1,1,1
,119,9705.000000,1,1,1,0,1,1,1
,121,2.000000,1,0,0,1,1,1,1
,123,2601.000000,1,1,0,1,1,1,1
,124,75.000000,0,0,1,1,1,1,1
,125,460.000000,1,0,1,1,1,1,1
,126,26.000000,0,1,1,1,1,1,1
,127,2243727.000000,1,1,1,1,1,1,1
