"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6","OBS7"
,0,327.000000,0,0,0,0,0,0,0
,1,1.000000,1,0,0,0,0,0,0
,2,109.000000,0,1,0,0,0,0,0
,4,4.000000,0,0,1,0,0,0,0
,6,233.000000,0,1,1,0,0,0,0
,7,10.000000,1,1,1,0,0,0,0
,8,375.000000,0,0,0,1,0,0,0
,9,1.000000,1,0,0,1,0,0,0
,10,93.000000,0,1,0,1,0,0,0
,12,7.000000,0,0,1,1,0,0,0
,13,1.000000,1,0,1,1,0,0,0
,14,826.000000,0,1,1,1,0,0,0
,15,23.000000,1,1,1,1,0,0,0
,24,300.000000,0,0,0,1,1,0,0
,26,149.000000,0,1,0,1,1,0,0
,28,21.000000,0,0,1,1,1,0,0
,30,2965.000000,0,1,1,1,1,0,0
,31,31.000000,1,1,1,1,1,0,0
,32,52.000000,0,0,0,0,0,1,0
,33,27.000000,1,0,0,0,0,1,0
,34,4.000000,0,1,0,0,0,1,0
,35,16.000000,1,1,0,0,0,1,0
,36,1.000000,0,0,1,0,0,1,0
,37,6.000000,1,0,1,0,0,1,0
,38,80.000000,0,1,1,0,0,1,0
,39,299.000000,1,1,1,0,0,1,0
,40,18.000000,0,0,0,1,0,1,0
,41,25.000000,1,0,0,1,0,1,0
,42,18.000000,0,1,0,1,0,1,0
,43,20.000000,1,1,0,1,0,1,0
,44,1.000000,0,0,1,1,0,1,0
,45,2.000000,1,0,1,1,0,1,0
,46,314.000000,0,1,1,1,0,1,0
,47,750.000000,1,1,1,1,0,1,0
,56,14.000000,0,0,0,1,1,1,0
,57,3.000000,1,0,0,1,1,1,0
,58,6.000000,0,1,0,1,1,1,0
,59,4.000000,1,1,0,1,1,1,0
,62,508.000000,0,1,1,1,1,1,0
,63,479.000000,1,1,1,1,1,1,0
,64,181.000000,0,0,0,0,0,0,1
,65,7.000000,1,0,0,0,0,0,1
,66,20.000000,0,1,0,0,0,0,1
,70,21.000000,0,1,1,0,0,0,1
,72,181.000000,0,0,0,1,0,0,1
,73,15.000000,1,0,0,1,0,0,1
,74,66.000000,0,1,0,1,0,0,1
,75,12.000000,1,1,0,1,0,0,1
,76,2.000000,0,0,1,1,0,0,1
,78,422.000000,0,1,1,1,0,0,1
,79,47.000000,1,1,1,1,0,0,1
,80,2.000000,0,0,0,0,1,0,1
,88,1049.000000,0,0,0,1,1,0,1
,89,108.000000,1,0,0,1,1,0,1
,90,929.000000,0,1,0,1,1,0,1
,91,100.000000,1,1,0,1,1,0,1
,92,74.000000,0,0,1,1,1,0,1
,93,14.000000,1,0,1,1,1,0,1
,94,13557.000000,0,1,1,1,1,0,1
,95,1999.000000,1,1,1,1,1,0,1
,96,78.000000,0,0,0,0,0,1,1
,97,393.000000,1,0,0,0,0,1,1
,98,19.000000,0,1,0,0,0,1,1
,99,87.000000,1,1,0,0,0,1,1
,101,13.000000,1,0,1,0,0,1,1
,102,17.000000,0,1,1,0,0,1,1
,103,459.000000,1,1,1,0,0,1,1
,104,120.000000,0,0,0,1,0,1,1
,105,643.000000,1,0,0,1,0,1,1
,106,111.000000,0,1,0,1,0,1,1
,107,669.000000,1,1,0,1,0,1,1
,108,5.000000,0,0,1,1,0,1,1
,109,57.000000,1,0,1,1,0,1,1
,110,803.000000,0,1,1,1,0,1,1
,111,7039.000000,1,1,1,1,0,1,1
,120,504.000000,0,0,0,1,1,1,1
,121,1692.000000,1,0,0,1,1,1,1
,122,873.000000,0,1,0,1,1,1,1
,123,2455.000000,1,1,0,1,1,1,1
,124,45.000000,0,0,1,1,1,1,1
,125,72.000000,1,0,1,1,1,1,1
,126,52865.000000,0,1,1,1,1,1,1
,127,2191310.000000,1,1,1,1,1,1,1
