"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6","OBS7"
,0,84.000000,0,0,0,0,0,0,0
,1,23.000000,1,0,0,0,0,0,0
,2,30.000000,0,1,0,0,0,0,0
,3,74.000000,1,1,0,0,0,0,0
,4,2.000000,0,0,1,0,0,0,0
,12,1.000000,0,0,1,1,0,0,0
,16,23.000000,0,0,0,0,1,0,0
,17,5.000000,1,0,0,0,1,0,0
,20,7.000000,0,0,1,0,1,0,0
,27,1.000000,1,1,0,1,1,0,0
,28,4.000000,0,0,1,1,1,0,0
,31,1.000000,1,1,1,1,1,0,0
,32,535.000000,0,0,0,0,0,1,0
,33,95.000000,1,0,0,0,0,1,0
,34,487.000000,0,1,0,0,0,1,0
,35,1232.000000,1,1,0,0,0,1,0
,36,8.000000,0,0,1,0,0,1,0
,38,2.000000,0,1,1,0,0,1,0
,39,23.000000,1,1,1,0,0,1,0
,40,22.000000,0,0,0,1,0,1,0
,41,1.000000,1,0,0,1,0,1,0
,42,14.000000,0,1,0,1,0,1,0
,43,57.000000,1,1,0,1,0,1,0
,44,1.000000,0,0,1,1,0,1,0
,45,1.000000,1,0,1,1,0,1,0
,46,3.000000,0,1,1,1,0,1,0
,47,22.000000,1,1,1,1,0,1,0
,48,347.000000,0,0,0,0,1,1,0
,49,33.000000,1,0,0,0,1,1,0
,50,243.000000,0,1,0,0,1,1,0
,51,1369.000000,1,1,0,0,1,1,0
,52,43.000000,0,0,1,0,1,1,0
,53,16.000000,1,0,1,0,1,1,0
,54,26.000000,0,1,1,0,1,1,0
,55,519.000000,1,1,1,0,1,1,0
,56,168.000000,0,0,0,1,1,1,0
,57,13.000000,1,0,0,1,1,1,0
,58,283.000000,0,1,0,1,1,1,0
,59,1680.000000,1,1,0,1,1,1,0
,60,1795.000000,0,0,1,1,1,1,0
,61,402.000000,1,0,1,1,1,1,0
,62,2049.000000,0,1,1,1,1,1,0
,63,29853.000000,1,1,1,1,1,1,0
,64,1.000000,0,0,0,0,0,0,1
,65,6.000000,1,0,0,0,0,0,1
,67,66.000000,1,1,0,0,0,0,1
,71,2.000000,1,1,1,0,0,0,1
,75,1.000000,1,1,0,1,0,0,1
,80,1.000000,0,0,0,0,1,0,1
,83,1.000000,1,1,0,0,1,0,1
,87,4.000000,1,1,1,0,1,0,1
,92,1.000000,0,0,1,1,1,0,1
,93,4.000000,1,0,1,1,1,0,1
,95,6.000000,1,1,1,1,1,0,1
,96,15.000000,0,0,0,0,0,1,1
,97,31.000000,1,0,0,0,0,1,1
,98,8.000000,0,1,0,0,0,1,1
,99,5479.000000,1,1,0,0,0,1,1
,100,3.000000,0,0,1,0,0,1,1
,101,4.000000,1,0,1,0,0,1,1
,103,451.000000,1,1,1,0,0,1,1
,106,1.000000,0,1,0,1,0,1,1
,107,83.000000,1,1,0,1,0,1,1
,108,1.000000,0,0,1,1,0,1,1
,109,2.000000,1,0,1,1,0,1,1
,111,92.000000,1,1,1,1,0,1,1
,112,10.000000,0,0,0,0,1,1,1
,113,10.000000,1,0,0,0,1,1,1
,114,2.000000,0,1,0,0,1,1,1
,115,8265.000000,1,1,0,0,1,1,1
,116,8.000000,0,0,1,0,1,1,1
,117,30.000000,1,0,1,0,1,1,1
,119,8513.000000,1,1,1,0,1,1,1
,120,1.000000,0,0,0,1,1,1,1
,121,3.000000,1,0,0,1,1,1,1
,123,6893.000000,1,1,0,1,1,1,1
,124,135.000000,0,0,1,1,1,1,1
,125,352.000000,1,0,1,1,1,1,1
,126,28.000000,0,1,1,1,1,1,1
,127,2215148.000000,1,1,1,1,1,1,1
