"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6","OBS7"
,0,818.000000,0,0,0,0,0,0,0
,1,23.000000,1,0,0,0,0,0,0
,2,555.000000,0,1,0,0,0,0,0
,3,9.000000,1,1,0,0,0,0,0
,4,81.000000,0,0,1,0,0,0,0
,5,69.000000,1,0,1,0,0,0,0
,6,47.000000,0,1,1,0,0,0,0
,7,15.000000,1,1,1,0,0,0,0
,8,271.000000,0,0,0,1,0,0,0
,9,23.000000,1,0,0,1,0,0,0
,10,80.000000,0,1,0,1,0,0,0
,11,21.000000,1,1,0,1,0,0,0
,12,27.000000,0,0,1,1,0,0,0
,13,68.000000,1,0,1,1,0,0,0
,14,34.000000,0,1,1,1,0,0,0
,15,55.000000,1,1,1,1,0,0,0
,16,14.000000,0,0,0,0,1,0,0
,18,147.000000,0,1,0,0,1,0,0
,19,3.000000,1,1,0,0,1,0,0
,20,73.000000,0,0,1,0,1,0,0
,21,117.000000,1,0,1,0,1,0,0
,22,777.000000,0,1,1,0,1,0,0
,23,721.000000,1,1,1,0,1,0,0
,24,3.000000,0,0,0,1,1,0,0
,26,18.000000,0,1,0,1,1,0,0
,27,4.000000,1,1,0,1,1,0,0
,28,28.000000,0,0,1,1,1,0,0
,29,73.000000,1,0,1,1,1,0,0
,30,228.000000,0,1,1,1,1,0,0
,31,783.000000,1,1,1,1,1,0,0
,32,5.000000,0,0,0,0,0,1,0
,34,6.000000,0,1,0,0,0,1,0
,36,1.000000,0,0,1,0,0,1,0
,37,6.000000,1,0,1,0,0,1,0
,39,6.000000,1,1,1,0,0,1,0
,40,76.000000,0,0,0,1,0,1,0
,41,774.000000,1,0,0,1,0,1,0
,42,62.000000,0,1,0,1,0,1,0
,43,320.000000,1,1,0,1,0,1,0
,44,31.000000,0,0,1,1,0,1,0
,45,1311.000000,1,0,1,1,0,1,0
,46,27.000000,0,1,1,1,0,1,0
,47,1213.000000,1,1,1,1,0,1,0
,53,11.000000,1,0,1,0,1,1,0
,54,5.000000,0,1,1,0,1,1,0
,55,43.000000,1,1,1,0,1,1,0
,56,5.000000,0,0,0,1,1,1,0
,57,13.000000,1,0,0,1,1,1,0
,58,31.000000,0,1,0,1,1,1,0
,59,37.000000,1,1,0,1,1,1,0
,60,9.000000,0,0,1,1,1,1,0
,61,1091.000000,1,0,1,1,1,1,0
,62,76.000000,0,1,1,1,1,1,0
,63,5717.000000,1,1,1,1,1,1,0
,64,161.000000,0,0,0,0,0,0,1
,66,1530.000000,0,1,0,0,0,0,1
,67,9.000000,1,1,0,0,0,0,1
,68,3.000000,0,0,1,0,0,0,1
,69,2.000000,1,0,1,0,0,0,1
,70,173.000000,0,1,1,0,0,0,1
,71,29.000000,1,1,1,0,0,0,1
,72,40.000000,0,0,0,1,0,0,1
,73,2.000000,1,0,0,1,0,0,1
,74,1503.000000,0,1,0,1,0,0,1
,75,148.000000,1,1,0,1,0,0,1
,76,15.000000,0,0,1,1,0,0,1
,77,8.000000,1,0,1,1,0,0,1
,78,661.000000,0,1,1,1,0,0,1
,79,519.000000,1,1,1,1,0,0,1
,80,2.000000,0,0,0,0,1,0,1
,82,1385.000000,0,1,0,0,1,0,1
,83,5.000000,1,1,0,0,1,0,1
,84,5.000000,0,0,1,0,1,0,1
,85,1.000000,1,0,1,0,1,0,1
,86,4100.000000,0,1,1,0,1,0,1
,87,835.000000,1,1,1,0,1,0,1
,88,1.000000,0,0,0,1,1,0,1
,90,799.000000,0,1,0,1,1,0,1
,91,98.000000,1,1,0,1,1,0,1
,92,4.000000,0,0,1,1,1,0,1
,93,8.000000,1,0,1,1,1,0,1
,94,7038.000000,0,1,1,1,1,0,1
,95,8424.000000,1,1,1,1,1,0,1
,96,7.000000,0,0,0,0,0,1,1
,98,110.000000,0,1,0,0,0,1,1
,99,9.000000,1,1,0,0,0,1,1
,102,37.000000,0,1,1,0,0,1,1
,103,25.000000,1,1,1,0,0,1,1
,104,88.000000,0,0,0,1,0,1,1
,105,808.000000,1,0,0,1,0,1,1
,106,2761.000000,0,1,0,1,0,1,1
,107,9901.000000,1,1,0,1,0,1,1
,108,14.000000,0,0,1,1,0,1,1
,109,550.000000,1,0,1,1,0,1,1
,110,1304.000000,0,1,1,1,0,1,1
,111,31200.000000,1,1,1,1,0,1,1
,114,29.000000,0,1,0,0,1,1,1
,115,6.000000,1,1,0,0,1,1,1
,118,207.000000,0,1,1,0,1,1,1
,119,164.000000,1,1,1,0,1,1,1
,120,2.000000,0,0,0,1,1,1,1
,121,1.000000,1,0,0,1,1,1,1
,122,1136.000000,0,1,0,1,1,1,1
,123,3398.000000,1,1,0,1,1,1,1
,125,149.000000,1,0,1,1,1,1,1
,126,9784.000000,0,1,1,1,1,1,1
,127,2181999.000000,1,1,1,1,1,1,1
