"OBJECTID","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6","OBS7"
1,0,13.000000,0,0,0,0,0,0,0
2,2,1.000000,0,1,0,0,0,0,0
3,10,3.000000,0,1,0,1,0,0,0
4,16,14.000000,0,0,0,0,1,0,0
5,18,1.000000,0,1,0,0,1,0,0
6,20,1.000000,0,0,1,0,1,0,0
7,21,1.000000,1,0,1,0,1,0,0
8,40,1.000000,0,0,0,1,0,1,0
9,64,380.000000,0,0,0,0,0,0,1
10,66,9.000000,0,1,0,0,0,0,1
11,68,3.000000,0,0,1,0,0,0,1
12,69,1.000000,1,0,1,0,0,0,1
13,72,85.000000,0,0,0,1,0,0,1
14,74,44.000000,0,1,0,1,0,0,1
15,80,934.000000,0,0,0,0,1,0,1
16,81,68.000000,1,0,0,0,1,0,1
17,82,78.000000,0,1,0,0,1,0,1
18,83,19.000000,1,1,0,0,1,0,1
19,84,153.000000,0,0,1,0,1,0,1
20,85,2846.000000,1,0,1,0,1,0,1
21,86,3.000000,0,1,1,0,1,0,1
22,87,869.000000,1,1,1,0,1,0,1
23,88,105.000000,0,0,0,1,1,0,1
24,89,8.000000,1,0,0,1,1,0,1
25,90,253.000000,0,1,0,1,1,0,1
26,91,228.000000,1,1,0,1,1,0,1
27,92,13.000000,0,0,1,1,1,0,1
28,93,284.000000,1,0,1,1,1,0,1
29,94,26.000000,0,1,1,1,1,0,1
30,95,3253.000000,1,1,1,1,1,0,1
31,96,450.000000,0,0,0,0,0,1,1
32,98,5.000000,0,1,0,0,0,1,1
33,100,2.000000,0,0,1,0,0,1,1
34,104,406.000000,0,0,0,1,0,1,1
35,106,596.000000,0,1,0,1,0,1,1
36,108,3.000000,0,0,1,1,0,1,1
37,112,889.000000,0,0,0,0,1,1,1
38,113,57.000000,1,0,0,0,1,1,1
39,114,31.000000,0,1,0,0,1,1,1
40,115,21.000000,1,1,0,0,1,1,1
41,116,450.000000,0,0,1,0,1,1,1
42,117,4132.000000,1,0,1,0,1,1,1
43,118,29.000000,0,1,1,0,1,1,1
44,119,1268.000000,1,1,1,0,1,1,1
45,120,2586.000000,0,0,0,1,1,1,1
46,121,389.000000,1,0,0,1,1,1,1
47,122,12072.000000,0,1,0,1,1,1,1
48,123,6044.000000,1,1,0,1,1,1,1
49,124,1529.000000,0,0,1,1,1,1,1
50,125,13534.000000,1,0,1,1,1,1,1
51,126,7496.000000,0,1,1,1,1,1,1
52,127,2225572.000000,1,1,1,1,1,1,1
