"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6","OBS7"
,0,107.000000,0,0,0,0,0,0,0
,2,4.000000,0,1,0,0,0,0,0
,4,1.000000,0,0,1,0,0,0,0
,6,23.000000,0,1,1,0,0,0,0
,8,96.000000,0,0,0,1,0,0,0
,9,13.000000,1,0,0,1,0,0,0
,10,3.000000,0,1,0,1,0,0,0
,12,1.000000,0,0,1,1,0,0,0
,14,6.000000,0,1,1,1,0,0,0
,16,357.000000,0,0,0,0,1,0,0
,18,19.000000,0,1,0,0,1,0,0
,20,8.000000,0,0,1,0,1,0,0
,22,169.000000,0,1,1,0,1,0,0
,24,900.000000,0,0,0,1,1,0,0
,25,67.000000,1,0,0,1,1,0,0
,26,82.000000,0,1,0,1,1,0,0
,27,3.000000,1,1,0,1,1,0,0
,28,42.000000,0,0,1,1,1,0,0
,30,236.000000,0,1,1,1,1,0,0
,31,5.000000,1,1,1,1,1,0,0
,32,71.000000,0,0,0,0,0,1,0
,33,22.000000,1,0,0,0,0,1,0
,34,10.000000,0,1,0,0,0,1,0
,35,1.000000,1,1,0,0,0,1,0
,38,35.000000,0,1,1,0,0,1,0
,39,29.000000,1,1,1,0,0,1,0
,40,101.000000,0,0,0,1,0,1,0
,41,300.000000,1,0,0,1,0,1,0
,42,10.000000,0,1,0,1,0,1,0
,43,32.000000,1,1,0,1,0,1,0
,44,3.000000,0,0,1,1,0,1,0
,45,19.000000,1,0,1,1,0,1,0
,46,44.000000,0,1,1,1,0,1,0
,47,377.000000,1,1,1,1,0,1,0
,48,44.000000,0,0,0,0,1,1,0
,49,7.000000,1,0,0,0,1,1,0
,50,4.000000,0,1,0,0,1,1,0
,51,1.000000,1,1,0,0,1,1,0
,52,2.000000,0,0,1,0,1,1,0
,54,169.000000,0,1,1,0,1,1,0
,55,44.000000,1,1,1,0,1,1,0
,56,1229.000000,0,0,0,1,1,1,0
,57,2361.000000,1,0,0,1,1,1,0
,58,215.000000,0,1,0,1,1,1,0
,59,1641.000000,1,1,0,1,1,1,0
,60,106.000000,0,0,1,1,1,1,0
,61,660.000000,1,0,1,1,1,1,0
,62,2675.000000,0,1,1,1,1,1,0
,63,37191.000000,1,1,1,1,1,1,0
,72,14.000000,0,0,0,1,0,0,1
,73,14.000000,1,0,0,1,0,0,1
,88,513.000000,0,0,0,1,1,0,1
,89,231.000000,1,0,0,1,1,0,1
,90,14.000000,0,1,0,1,1,0,1
,91,2.000000,1,1,0,1,1,0,1
,92,8.000000,0,0,1,1,1,0,1
,93,2.000000,1,0,1,1,1,0,1
,94,21.000000,0,1,1,1,1,0,1
,95,4.000000,1,1,1,1,1,0,1
,104,2.000000,0,0,0,1,0,1,1
,105,234.000000,1,0,0,1,0,1,1
,107,55.000000,1,1,0,1,0,1,1
,109,25.000000,1,0,1,1,0,1,1
,111,245.000000,1,1,1,1,0,1,1
,120,789.000000,0,0,0,1,1,1,1
,121,19353.000000,1,0,0,1,1,1,1
,122,100.000000,0,1,0,1,1,1,1
,123,19768.000000,1,1,0,1,1,1,1
,124,32.000000,0,0,1,1,1,1,1
,125,7383.000000,1,0,1,1,1,1,1
,126,362.000000,0,1,1,1,1,1,1
,127,2188542.000000,1,1,1,1,1,1,1
