"OBJECTID","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6","OBS7"
1,0,360.000000,0,0,0,0,0,0,0
2,1,1.000000,1,0,0,0,0,0,0
3,2,34.000000,0,1,0,0,0,0,0
4,3,1.000000,1,1,0,0,0,0,0
5,5,1.000000,1,0,1,0,0,0,0
6,8,74.000000,0,0,0,1,0,0,0
7,10,69.000000,0,1,0,1,0,0,0
8,11,8.000000,1,1,0,1,0,0,0
9,15,3.000000,1,1,1,1,0,0,0
10,16,723.000000,0,0,0,0,1,0,0
11,17,31.000000,1,0,0,0,1,0,0
12,18,67.000000,0,1,0,0,1,0,0
13,19,18.000000,1,1,0,0,1,0,0
14,20,103.000000,0,0,1,0,1,0,0
15,21,1445.000000,1,0,1,0,1,0,0
16,22,7.000000,0,1,1,0,1,0,0
17,23,1108.000000,1,1,1,0,1,0,0
18,24,29.000000,0,0,0,1,1,0,0
19,25,4.000000,1,0,0,1,1,0,0
20,26,132.000000,0,1,0,1,1,0,0
21,27,126.000000,1,1,0,1,1,0,0
22,28,3.000000,0,0,1,1,1,0,0
23,29,50.000000,1,0,1,1,1,0,0
24,30,10.000000,0,1,1,1,1,0,0
25,31,1580.000000,1,1,1,1,1,0,0
26,32,284.000000,0,0,0,0,0,1,0
27,34,9.000000,0,1,0,0,0,1,0
28,36,2.000000,0,0,1,0,0,1,0
29,40,136.000000,0,0,0,1,0,1,0
30,41,1.000000,1,0,0,1,0,1,0
31,42,475.000000,0,1,0,1,0,1,0
32,43,7.000000,1,1,0,1,0,1,0
33,46,2.000000,0,1,1,1,0,1,0
34,47,10.000000,1,1,1,1,0,1,0
35,48,427.000000,0,0,0,0,1,1,0
36,49,9.000000,1,0,0,0,1,1,0
37,50,80.000000,0,1,0,0,1,1,0
38,51,19.000000,1,1,0,0,1,1,0
39,52,136.000000,0,0,1,0,1,1,0
40,53,1176.000000,1,0,1,0,1,1,0
41,54,56.000000,0,1,1,0,1,1,0
42,55,1683.000000,1,1,1,0,1,1,0
43,56,245.000000,0,0,0,1,1,1,0
44,57,16.000000,1,0,0,1,1,1,0
45,58,2844.000000,0,1,0,1,1,1,0
46,59,1422.000000,1,1,0,1,1,1,0
47,60,115.000000,0,0,1,1,1,1,0
48,61,828.000000,1,0,1,1,1,1,0
49,62,1380.000000,0,1,1,1,1,1,0
50,63,73411.000000,1,1,1,1,1,1,0
51,64,25.000000,0,0,0,0,0,0,1
52,80,79.000000,0,0,0,0,1,0,1
53,81,3.000000,1,0,0,0,1,0,1
54,82,4.000000,0,1,0,0,1,0,1
55,83,1.000000,1,1,0,0,1,0,1
56,84,44.000000,0,0,1,0,1,0,1
57,85,533.000000,1,0,1,0,1,0,1
58,86,4.000000,0,1,1,0,1,0,1
59,87,160.000000,1,1,1,0,1,0,1
60,88,6.000000,0,0,0,1,1,0,1
61,90,5.000000,0,1,0,1,1,0,1
62,93,9.000000,1,0,1,1,1,0,1
63,94,2.000000,0,1,1,1,1,0,1
64,95,91.000000,1,1,1,1,1,0,1
65,96,142.000000,0,0,0,0,0,1,1
66,98,5.000000,0,1,0,0,0,1,1
67,104,380.000000,0,0,0,1,0,1,1
68,106,775.000000,0,1,0,1,0,1,1
69,107,3.000000,1,1,0,1,0,1,1
70,108,1.000000,0,0,1,1,0,1,1
71,111,2.000000,1,1,1,1,0,1,1
72,112,473.000000,0,0,0,0,1,1,1
73,113,22.000000,1,0,0,0,1,1,1
74,114,63.000000,0,1,0,0,1,1,1
75,115,16.000000,1,1,0,0,1,1,1
76,116,275.000000,0,0,1,0,1,1,1
77,117,2341.000000,1,0,1,0,1,1,1
78,118,56.000000,0,1,1,0,1,1,1
79,119,1353.000000,1,1,1,0,1,1,1
80,120,1819.000000,0,0,0,1,1,1,1
81,121,49.000000,1,0,0,1,1,1,1
82,122,11347.000000,0,1,0,1,1,1,1
83,123,3708.000000,1,1,0,1,1,1,1
84,124,713.000000,0,0,1,1,1,1,1
85,125,3697.000000,1,0,1,1,1,1,1
86,126,9741.000000,0,1,1,1,1,1,1
87,127,2158551.000000,1,1,1,1,1,1,1
