"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6","OBS7"
,0,73.000000,0,0,0,0,0,0,0
,1,41.000000,1,0,0,0,0,0,0
,2,8.000000,0,1,0,0,0,0,0
,3,156.000000,1,1,0,0,0,0,0
,4,3.000000,0,0,1,0,0,0,0
,16,145.000000,0,0,0,0,1,0,0
,17,87.000000,1,0,0,0,1,0,0
,18,2.000000,0,1,0,0,1,0,0
,19,58.000000,1,1,0,0,1,0,0
,20,60.000000,0,0,1,0,1,0,0
,21,17.000000,1,0,1,0,1,0,0
,22,1.000000,0,1,1,0,1,0,0
,23,12.000000,1,1,1,0,1,0,0
,24,2.000000,0,0,0,1,1,0,0
,27,2.000000,1,1,0,1,1,0,0
,28,145.000000,0,0,1,1,1,0,0
,29,126.000000,1,0,1,1,1,0,0
,30,3.000000,0,1,1,1,1,0,0
,31,37.000000,1,1,1,1,1,0,0
,32,95.000000,0,0,0,0,0,1,0
,33,18.000000,1,0,0,0,0,1,0
,34,75.000000,0,1,0,0,0,1,0
,35,844.000000,1,1,0,0,0,1,0
,36,2.000000,0,0,1,0,0,1,0
,38,3.000000,0,1,1,0,0,1,0
,39,39.000000,1,1,1,0,0,1,0
,42,4.000000,0,1,0,1,0,1,0
,43,8.000000,1,1,0,1,0,1,0
,46,1.000000,0,1,1,1,0,1,0
,47,6.000000,1,1,1,1,0,1,0
,48,55.000000,0,0,0,0,1,1,0
,49,33.000000,1,0,0,0,1,1,0
,50,57.000000,0,1,0,0,1,1,0
,51,962.000000,1,1,0,0,1,1,0
,52,12.000000,0,0,1,0,1,1,0
,53,11.000000,1,0,1,0,1,1,0
,54,23.000000,0,1,1,0,1,1,0
,55,658.000000,1,1,1,0,1,1,0
,57,2.000000,1,0,0,1,1,1,0
,58,1.000000,0,1,0,1,1,1,0
,59,69.000000,1,1,0,1,1,1,0
,60,195.000000,0,0,1,1,1,1,0
,61,413.000000,1,0,1,1,1,1,0
,62,174.000000,0,1,1,1,1,1,0
,63,6790.000000,1,1,1,1,1,1,0
,64,23.000000,0,0,0,0,0,0,1
,65,110.000000,1,0,0,0,0,0,1
,67,431.000000,1,1,0,0,0,0,1
,80,28.000000,0,0,0,0,1,0,1
,81,107.000000,1,0,0,0,1,0,1
,82,1.000000,0,1,0,0,1,0,1
,83,386.000000,1,1,0,0,1,0,1
,84,2.000000,0,0,1,0,1,0,1
,85,17.000000,1,0,1,0,1,0,1
,87,63.000000,1,1,1,0,1,0,1
,88,1.000000,0,0,0,1,1,0,1
,89,8.000000,1,0,0,1,1,0,1
,91,42.000000,1,1,0,1,1,0,1
,92,91.000000,0,0,1,1,1,0,1
,93,369.000000,1,0,1,1,1,0,1
,94,2.000000,0,1,1,1,1,0,1
,95,559.000000,1,1,1,1,1,0,1
,97,13.000000,1,0,0,0,0,1,1
,99,2046.000000,1,1,0,0,0,1,1
,103,30.000000,1,1,1,0,0,1,1
,107,1.000000,1,1,0,1,0,1,1
,111,4.000000,1,1,1,1,0,1,1
,112,1.000000,0,0,0,0,1,1,1
,113,41.000000,1,0,0,0,1,1,1
,114,5.000000,0,1,0,0,1,1,1
,115,8786.000000,1,1,0,0,1,1,1
,116,4.000000,0,0,1,0,1,1,1
,117,19.000000,1,0,1,0,1,1,1
,119,11993.000000,1,1,1,0,1,1,1
,120,1.000000,0,0,0,1,1,1,1
,121,4.000000,1,0,0,1,1,1,1
,123,1539.000000,1,1,0,1,1,1,1
,124,38.000000,0,0,1,1,1,1,1
,125,392.000000,1,0,1,1,1,1,1
,126,30.000000,0,1,1,1,1,1,1
,127,2248543.000000,1,1,1,1,1,1,1
